,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
3,74,time,90.0,190.0,70.0,150.0
3,75,time,0.0,270.0,660.0,190.0
3,76,time,80.0,190.0,60.0,140.0
3,77,time,90.0,290.0,80.0,160.0
3,78,time,130.0,190.0,130.0,130.0
3,79,time,170.0,200.0,140.0,180.0
3,80,time,110.0,180.0,90.0,150.0
4,1,time,190.0,230.0,170.0,190.0
4,2,time,130.0,190.0,90.0,160.0
4,3,time,170.0,250.0,160.0,220.0
4,4,time,270.0,360.0,140.0,180.0
4,5,time,100.0,230.0,90.0,190.0
4,6,time,440.0,190.0,430.0,140.0
4,7,time,100.0,240.0,90.0,150.0
4,8,time,140.0,320.0,90.0,190.0
4,9,time,90.0,230.0,80.0,180.0
4,10,time,230.0,250.0,210.0,180.0
4,11,time,90.0,320.0,80.0,200.0
4,12,time,90.0,200.0,80.0,150.0
4,13,time,270.0,260.0,250.0,180.0
4,14,time,80.0,170.0,60.0,110.0
4,15,time,110.0,210.0,100.0,150.0
4,16,time,150.0,230.0,140.0,170.0
4,17,time,80.0,200.0,70.0,160.0
4,18,time,80.0,200.0,70.0,160.0
4,19,time,130.0,180.0,110.0,130.0
4,20,time,100.0,220.0,90.0,170.0
4,21,time,100.0,190.0,100.0,140.0
4,22,time,130.0,250.0,110.0,180.0
4,23,time,140.0,170.0,120.0,130.0
4,24,time,100.0,170.0,90.0,120.0
4,25,time,120.0,210.0,110.0,160.0
4,26,time,130.0,270.0,120.0,170.0
4,27,time,110.0,220.0,100.0,150.0
4,28,time,150.0,270.0,140.0,180.0
4,29,time,170.0,240.0,170.0,160.0
4,30,time,290.0,240.0,280.0,180.0
4,31,time,270.0,360.0,250.0,190.0
4,32,time,120.0,350.0,110.0,230.0
4,33,time,520.0,330.0,490.0,200.0
4,34,time,90.0,200.0,70.0,190.0
4,35,time,90.0,170.0,80.0,130.0
4,36,time,80.0,170.0,60.0,120.0
4,37,time,70.0,300.0,60.0,140.0
4,38,time,110.0,180.0,90.0,130.0
4,39,time,410.0,240.0,400.0,150.0
4,40,time,120.0,200.0,100.0,160.0
4,41,time,120.0,190.0,80.0,150.0
4,42,time,120.0,310.0,100.0,140.0
4,43,time,160.0,210.0,100.0,140.0
4,44,time,100.0,240.0,90.0,160.0
4,45,time,100.0,200.0,80.0,160.0
4,46,time,90.0,260.0,80.0,260.0
4,47,time,90.0,360.0,70.0,160.0
4,48,time,550.0,210.0,940.0,150.0
4,49,time,70.0,190.0,60.0,160.0
4,50,time,90.0,240.0,70.0,180.0
4,51,time,750.0,340.0,650.0,160.0
4,52,time,70.0,200.0,60.0,140.0
4,53,time,100.0,240.0,90.0,160.0
4,54,time,340.0,350.0,520.0,180.0
4,55,time,130.0,220.0,110.0,160.0
4,56,time,160.0,500.0,140.0,260.0
4,57,time,80.0,200.0,80.0,170.0
4,58,time,90.0,180.0,80.0,140.0
4,59,time,170.0,240.0,160.0,180.0
4,60,time,630.0,260.0,60.0,180.0
4,61,time,140.0,250.0,130.0,190.0
4,62,time,110.0,220.0,100.0,160.0
4,63,time,90.0,190.0,70.0,120.0
4,64,time,100.0,290.0,80.0,190.0
4,65,time,90.0,470.0,80.0,190.0
4,66,time,100.0,200.0,80.0,140.0
4,67,time,90.0,210.0,210.0,170.0
4,68,time,110.0,290.0,100.0,210.0
4,69,time,90.0,790.0,70.0,360.0
4,70,time,100.0,240.0,70.0,200.0
4,71,time,90.0,180.0,70.0,120.0
4,72,time,100.0,190.0,120.0,130.0
4,73,time,80.0,300.0,70.0,150.0
4,74,time,90.0,200.0,70.0,160.0
4,75,time,960.0,270.0,930.0,150.0
4,76,time,100.0,190.0,90.0,140.0
4,77,time,90.0,270.0,80.0,150.0
4,78,time,110.0,190.0,100.0,130.0
4,79,time,130.0,190.0,110.0,140.0
4,80,time,120.0,190.0,100.0,140.0
5,1,time,520.0,220.0,510.0,180.0
5,2,time,110.0,190.0,90.0,150.0
5,3,time,160.0,290.0,150.0,210.0
5,4,time,130.0,290.0,260.0,180.0
5,5,time,90.0,240.0,70.0,180.0
5,6,time,510.0,190.0,490.0,140.0
5,7,time,110.0,240.0,100.0,170.0
5,8,time,180.0,300.0,110.0,210.0
5,9,time,90.0,240.0,80.0,180.0
5,10,time,140.0,250.0,120.0,180.0
5,11,time,90.0,270.0,80.0,220.0
5,12,time,100.0,200.0,90.0,160.0
5,13,time,200.0,240.0,190.0,170.0
5,14,time,80.0,170.0,60.0,110.0
5,15,time,110.0,200.0,100.0,160.0
5,16,time,110.0,220.0,100.0,170.0
5,17,time,80.0,190.0,70.0,150.0
5,18,time,90.0,200.0,70.0,150.0
5,19,time,120.0,180.0,100.0,130.0
5,20,time,130.0,220.0,120.0,170.0
5,21,time,90.0,190.0,90.0,140.0
5,22,time,130.0,250.0,130.0,180.0
5,23,time,150.0,180.0,130.0,130.0
5,24,time,130.0,180.0,110.0,110.0
5,25,time,190.0,210.0,170.0,170.0
5,26,time,80.0,300.0,70.0,170.0
5,27,time,110.0,220.0,90.0,150.0
5,28,time,230.0,290.0,210.0,190.0
5,29,time,170.0,290.0,170.0,160.0
5,30,time,750.0,270.0,740.0,200.0
5,31,time,220.0,350.0,210.0,180.0
5,32,time,250.0,390.0,230.0,210.0
5,33,time,90.0,250.0,80.0,170.0
5,34,time,80.0,210.0,70.0,200.0
5,35,time,90.0,170.0,90.0,130.0
5,36,time,90.0,170.0,80.0,120.0
5,37,time,70.0,220.0,60.0,140.0
5,38,time,80.0,180.0,60.0,120.0
5,39,time,730.0,200.0,740.0,160.0
5,40,time,100.0,210.0,110.0,180.0
5,41,time,100.0,190.0,80.0,140.0
5,42,time,120.0,370.0,100.0,150.0
5,43,time,120.0,190.0,80.0,150.0
5,44,time,90.0,220.0,60.0,150.0
5,45,time,120.0,210.0,110.0,150.0
5,46,time,100.0,260.0,90.0,210.0
5,47,time,90.0,260.0,80.0,160.0
5,48,time,250.0,220.0,550.0,150.0
5,49,time,80.0,190.0,60.0,140.0
5,50,time,100.0,320.0,80.0,180.0
5,51,time,400.0,350.0,270.0,180.0
5,52,time,70.0,180.0,60.0,140.0
5,53,time,90.0,250.0,80.0,170.0
5,54,time,970.0,260.0,0.0,190.0
5,55,time,100.0,220.0,80.0,150.0
5,56,time,140.0,670.0,120.0,240.0
5,57,time,790.0,200.0,780.0,170.0
5,58,time,90.0,180.0,70.0,140.0
5,59,time,140.0,210.0,120.0,200.0
5,60,time,550.0,250.0,40.0,180.0
5,61,time,110.0,270.0,110.0,210.0
5,62,time,100.0,210.0,90.0,160.0
5,63,time,90.0,180.0,70.0,120.0
5,64,time,90.0,220.0,80.0,170.0
5,65,time,90.0,420.0,80.0,180.0
5,66,time,90.0,210.0,80.0,160.0
5,67,time,90.0,200.0,180.0,170.0
5,68,time,110.0,340.0,100.0,190.0
5,69,time,170.0,650.0,150.0,340.0
5,70,time,100.0,270.0,70.0,180.0
5,71,time,90.0,180.0,70.0,130.0
5,72,time,100.0,180.0,80.0,130.0
5,73,time,90.0,250.0,80.0,140.0
5,74,time,100.0,200.0,80.0,140.0
5,75,time,110.0,230.0,100.0,170.0
5,76,time,80.0,200.0,70.0,150.0
5,77,time,110.0,290.0,100.0,150.0
5,78,time,100.0,190.0,90.0,130.0
5,79,time,170.0,190.0,150.0,140.0
5,80,time,140.0,190.0,130.0,140.0
6,1,time,160.0,230.0,150.0,180.0
6,2,time,170.0,180.0,100.0,150.0
6,3,time,110.0,240.0,90.0,220.0
6,4,time,120.0,430.0,200.0,210.0
6,5,time,90.0,220.0,70.0,180.0
6,6,time,420.0,200.0,450.0,150.0
6,7,time,110.0,240.0,90.0,170.0
6,8,time,240.0,310.0,110.0,220.0
6,9,time,90.0,230.0,80.0,190.0
6,10,time,140.0,240.0,130.0,170.0
6,11,time,90.0,330.0,90.0,230.0
6,12,time,110.0,210.0,100.0,150.0
6,13,time,190.0,250.0,180.0,170.0
6,14,time,80.0,160.0,60.0,110.0
6,15,time,130.0,200.0,120.0,150.0
6,16,time,150.0,240.0,120.0,160.0
6,17,time,80.0,190.0,80.0,150.0
6,18,time,80.0,200.0,70.0,150.0
6,19,time,110.0,180.0,90.0,130.0
6,20,time,100.0,220.0,90.0,170.0
6,21,time,90.0,190.0,80.0,140.0
6,22,time,130.0,240.0,120.0,180.0
6,23,time,160.0,170.0,130.0,130.0
6,24,time,110.0,170.0,90.0,120.0
6,25,time,130.0,210.0,110.0,170.0
6,26,time,90.0,330.0,70.0,150.0
6,27,time,130.0,210.0,110.0,150.0
6,28,time,140.0,260.0,120.0,180.0
6,29,time,160.0,270.0,170.0,160.0
6,30,time,730.0,240.0,710.0,180.0
6,31,time,230.0,300.0,220.0,160.0
6,32,time,410.0,260.0,380.0,200.0
6,33,time,110.0,370.0,90.0,170.0
6,34,time,80.0,210.0,70.0,210.0
6,35,time,100.0,170.0,90.0,130.0
6,36,time,90.0,180.0,80.0,120.0
6,37,time,70.0,320.0,60.0,180.0
6,38,time,90.0,180.0,70.0,120.0
6,39,time,630.0,200.0,630.0,170.0
6,40,time,90.0,210.0,100.0,190.0
6,41,time,120.0,190.0,90.0,150.0
6,42,time,110.0,280.0,90.0,160.0
6,43,time,100.0,180.0,80.0,140.0
6,44,time,90.0,220.0,70.0,140.0
6,45,time,110.0,200.0,90.0,150.0
6,46,time,100.0,250.0,90.0,210.0
6,47,time,100.0,270.0,80.0,170.0
