,,,Gecode,Gurobi,Gecode,Gurobi,Solver run time ratio,Solver run time ratio,Model run time ratio,Model run time ratio
,,,Modified,Modified,Initial,Initial,Modified,Initial,Gecode,Gurobi
Month,House,Result,,,,,,,,
3,68,time,50,80,60,110,1.60,1.83,1.20,1.38
3,69,time,50,120,60,130,2.40,2.17,1.20,1.08
3,70,time,50,80,60,100,1.60,1.67,1.20,1.25
3,71,time,60,90,60,110,1.50,1.83,1.00,1.22
3,72,time,50,90,60,120,1.80,2.00,1.20,1.33
3,73,time,60,100,60,130,1.67,2.17,1.00,1.30
3,74,time,90,120,70,120,1.33,1.71,0.78,1.00
3,75,time,60,100,70,140,1.67,2.00,1.17,1.40
3,76,time,60,80,60,120,1.33,2.00,1.00,1.50
3,77,time,60,110,70,140,1.83,2.00,1.17,1.27
3,78,time,60,100,60,140,1.67,2.33,1.00,1.40
3,79,time,60,80,60,110,1.33,1.83,1.00,1.38
3,80,time,50,90,60,110,1.80,1.83,1.20,1.22
3,81,time,50,90,60,110,1.80,1.83,1.20,1.22
3,82,time,70,140,70,150,2.00,2.14,1.00,1.07
3,83,time,60,90,70,120,1.50,1.71,1.17,1.33
3,84,time,60,110,60,130,1.83,2.17,1.00,1.18
3,85,time,60,80,70,100,1.33,1.43,1.17,1.25
3,86,time,50,80,60,110,1.60,1.83,1.20,1.38
3,87,time,70,130,60,140,1.86,2.33,0.86,1.08
3,88,time,50,80,60,100,1.60,1.67,1.20,1.25
3,89,time,50,110,60,150,2.20,2.50,1.20,1.36
3,90,time,50,90,60,120,1.80,2.00,1.20,1.33
3,91,time,60,110,70,130,1.83,1.86,1.17,1.18
3,92,time,60,90,60,100,1.50,1.67,1.00,1.11
3,93,time,50,80,60,100,1.60,1.67,1.20,1.25
3,94,time,60,70,60,90,1.17,1.50,1.00,1.29
3,95,time,50,80,60,100,1.60,1.67,1.20,1.25
3,96,time,50,110,60,160,2.20,2.67,1.20,1.45
3,97,time,60,80,60,100,1.33,1.67,1.00,1.25
3,98,time,50,70,60,100,1.40,1.67,1.20,1.43
3,99,time,50,80,60,100,1.60,1.67,1.20,1.25
3,100,time,60,110,60,140,1.83,2.33,1.00,1.27
4,1,time,60,120,70,180,2.00,2.57,1.17,1.50
4,2,time,50,80,70,110,1.60,1.57,1.40,1.38
4,3,time,50,100,60,120,2.00,2.00,1.20,1.20
4,4,time,60,80,60,100,1.33,1.67,1.00,1.25
4,5,time,60,90,60,110,1.50,1.83,1.00,1.22
4,6,time,60,90,70,110,1.50,1.57,1.17,1.22
4,7,time,50,100,60,120,2.00,2.00,1.20,1.20
4,8,time,60,110,70,150,1.83,2.14,1.17,1.36
4,9,time,60,110,60,140,1.83,2.33,1.00,1.27
4,10,time,50,100,60,140,2.00,2.33,1.20,1.40
4,11,time,50,80,60,100,1.60,1.67,1.20,1.25
4,12,time,60,100,70,140,1.67,2.00,1.17,1.40
4,13,time,60,80,70,110,1.33,1.57,1.17,1.38
4,14,time,50,80,60,100,1.60,1.67,1.20,1.25
4,15,time,60,100,60,120,1.67,2.00,1.00,1.20
4,16,time,50,100,60,110,2.00,1.83,1.20,1.10
4,17,time,50,80,60,90,1.60,1.50,1.20,1.13
4,18,time,60,100,60,120,1.67,2.00,1.00,1.20
4,19,time,60,90,70,120,1.50,1.71,1.17,1.33
4,20,time,60,140,60,200,2.33,3.33,1.00,1.43
4,21,time,60,90,70,140,1.50,2.00,1.17,1.56
4,22,time,50,80,60,100,1.60,1.67,1.20,1.25
4,23,time,60,100,70,110,1.67,1.57,1.17,1.10
4,24,time,60,90,60,100,1.50,1.67,1.00,1.11
4,25,time,50,100,60,110,2.00,1.83,1.20,1.10
4,26,time,60,80,60,110,1.33,1.83,1.00,1.38
4,27,time,50,90,60,110,1.80,1.83,1.20,1.22
4,28,time,50,90,70,110,1.80,1.57,1.40,1.22
4,29,time,50,90,60,120,1.80,2.00,1.20,1.33
4,30,time,60,110,70,110,1.83,1.57,1.17,1.00
4,31,time,50,110,60,120,2.20,2.00,1.20,1.09
4,32,time,50,70,60,100,1.40,1.67,1.20,1.43
4,33,time,70,90,60,120,1.29,2.00,0.86,1.33
4,34,time,50,70,60,110,1.40,1.83,1.20,1.57
4,35,time,50,90,60,100,1.80,1.67,1.20,1.11
4,36,time,50,80,60,110,1.60,1.83,1.20,1.38
4,37,time,50,100,60,120,2.00,2.00,1.20,1.20
4,38,time,70,90,70,110,1.29,1.57,1.00,1.22
4,39,time,50,80,60,100,1.60,1.67,1.20,1.25
4,40,time,60,90,60,110,1.50,1.83,1.00,1.22
4,41,time,60,90,70,110,1.50,1.57,1.17,1.22
4,42,time,60,90,70,110,1.50,1.57,1.17,1.22
4,43,time,50,70,60,100,1.40,1.67,1.20,1.43
4,44,time,50,60,60,90,1.20,1.50,1.20,1.50
4,45,time,50,100,60,160,2.00,2.67,1.20,1.60
4,46,time,50,80,70,100,1.60,1.43,1.40,1.25
4,47,time,50,70,60,90,1.40,1.50,1.20,1.29
4,48,time,50,70,60,100,1.40,1.67,1.20,1.43
4,49,time,50,80,60,100,1.60,1.67,1.20,1.25
4,50,time,60,80,60,100,1.33,1.67,1.00,1.25
4,51,time,50,80,60,110,1.60,1.83,1.20,1.38
4,52,time,50,80,60,100,1.60,1.67,1.20,1.25
4,53,time,50,90,60,180,1.80,3.00,1.20,2.00
4,54,time,60,100,60,110,1.67,1.83,1.00,1.10
4,55,time,60,110,70,110,1.83,1.57,1.17,1.00
4,56,time,60,120,60,150,2.00,2.50,1.00,1.25
4,57,time,50,90,60,120,1.80,2.00,1.20,1.33
4,58,time,60,80,60,100,1.33,1.67,1.00,1.25
4,59,time,50,110,60,120,2.20,2.00,1.20,1.09
4,60,time,60,90,70,110,1.50,1.57,1.17,1.22
4,61,time,60,80,60,100,1.33,1.67,1.00,1.25
4,62,time,50,90,60,110,1.80,1.83,1.20,1.22
4,63,time,50,80,60,100,1.60,1.67,1.20,1.25
4,64,time,60,60,60,90,1.00,1.50,1.00,1.50
4,65,time,50,90,60,110,1.80,1.83,1.20,1.22
4,66,time,50,90,60,110,1.80,1.83,1.20,1.22
4,67,time,60,80,60,100,1.33,1.67,1.00,1.25
4,68,time,50,80,60,110,1.60,1.83,1.20,1.38
4,69,time,60,160,70,150,2.67,2.14,1.17,0.94
4,70,time,50,80,60,100,1.60,1.67,1.20,1.25
4,71,time,60,90,60,130,1.50,2.17,1.00,1.44
4,72,time,50,90,60,120,1.80,2.00,1.20,1.33
4,73,time,50,100,60,110,2.00,1.83,1.20,1.10
4,74,time,60,110,90,120,1.83,1.33,1.50,1.09
4,75,time,70,120,70,140,1.71,2.00,1.00,1.17
4,76,time,50,80,60,110,1.60,1.83,1.20,1.38
4,77,time,70,120,80,140,1.71,1.75,1.14,1.17
4,78,time,50,120,70,160,2.40,2.29,1.40,1.33
4,79,time,60,80,80,130,1.33,1.63,1.33,1.63
4,80,time,50,90,60,120,1.80,2.00,1.20,1.33
4,81,time,50,90,60,120,1.80,2.00,1.20,1.33
4,82,time,70,120,70,140,1.71,2.00,1.00,1.17
4,83,time,60,90,70,110,1.50,1.57,1.17,1.22
4,84,time,60,110,70,130,1.83,1.86,1.17,1.18
4,85,time,50,80,60,100,1.60,1.67,1.20,1.25
4,86,time,50,80,60,110,1.60,1.83,1.20,1.38
4,87,time,60,100,70,140,1.67,2.00,1.17,1.40
4,88,time,50,70,60,100,1.40,1.67,1.20,1.43
4,89,time,50,100,60,130,2.00,2.17,1.20,1.30
4,90,time,50,80,60,120,1.60,2.00,1.20,1.50
4,91,time,60,100,60,120,1.67,2.00,1.00,1.20
4,92,time,50,90,60,100,1.80,1.67,1.20,1.11
4,93,time,50,80,60,100,1.60,1.67,1.20,1.25
4,94,time,60,70,60,90,1.17,1.50,1.00,1.29
4,95,time,50,70,60,100,1.40,1.67,1.20,1.43
4,96,time,60,100,120,130,1.67,1.08,2.00,1.30
4,97,time,60,80,60,120,1.33,2.00,1.00,1.50
4,98,time,60,70,60,120,1.17,2.00,1.00,1.71
4,99,time,60,80,70,100,1.33,1.43,1.17,1.25
4,100,time,50,100,60,120,2.00,2.00,1.20,1.20
5,1,time,60,140,70,260,2.33,3.71,1.17,1.86
5,2,time,60,90,60,100,1.50,1.67,1.00,1.11
5,3,time,50,120,60,140,2.40,2.33,1.20,1.17
5,4,time,50,80,60,100,1.60,1.67,1.20,1.25
5,5,time,60,90,70,110,1.50,1.57,1.17,1.22
5,6,time,60,80,70,110,1.33,1.57,1.17,1.38
5,7,time,60,100,60,120,1.67,2.00,1.00,1.20
5,8,time,60,110,70,190,1.83,2.71,1.17,1.73
5,9,time,60,110,60,150,1.83,2.50,1.00,1.36
5,10,time,50,100,60,130,2.00,2.17,1.20,1.30
5,11,time,50,70,60,100,1.40,1.67,1.20,1.43
5,12,time,50,80,60,110,1.60,1.83,1.20,1.38
5,13,time,60,80,60,100,1.33,1.67,1.00,1.25
5,14,time,60,80,70,100,1.33,1.43,1.17,1.25
5,15,time,60,100,60,120,1.67,2.00,1.00,1.20
5,16,time,60,90,60,110,1.50,1.83,1.00,1.22
5,17,time,50,70,60,90,1.40,1.50,1.20,1.29
5,18,time,50,110,60,200,2.20,3.33,1.20,1.82
5,19,time,60,90,60,120,1.50,2.00,1.00,1.33
5,20,time,60,130,70,150,2.17,2.14,1.17,1.15
5,21,time,70,120,70,130,1.71,1.86,1.00,1.08
5,22,time,50,80,60,100,1.60,1.67,1.20,1.25
5,23,time,50,100,60,120,2.00,2.00,1.20,1.20
5,24,time,60,90,80,120,1.50,1.50,1.33,1.33
5,25,time,60,90,60,110,1.50,1.83,1.00,1.22
5,26,time,60,90,70,110,1.50,1.57,1.17,1.22
5,27,time,50,80,60,110,1.60,1.83,1.20,1.38
5,28,time,50,80,60,110,1.60,1.83,1.20,1.38
5,29,time,50,90,60,110,1.80,1.83,1.20,1.22
5,30,time,60,100,70,110,1.67,1.57,1.17,1.10
5,31,time,50,120,60,120,2.40,2.00,1.20,1.00
5,32,time,50,70,60,100,1.40,1.67,1.20,1.43
5,33,time,50,90,60,130,1.80,2.17,1.20,1.44
5,34,time,50,70,60,100,1.40,1.67,1.20,1.43
5,35,time,50,90,60,110,1.80,1.83,1.20,1.22
5,36,time,60,80,70,100,1.33,1.43,1.17,1.25
5,37,time,50,90,60,120,1.80,2.00,1.20,1.33
5,38,time,60,80,70,110,1.33,1.57,1.17,1.38
5,39,time,50,80,60,110,1.60,1.83,1.20,1.38
5,40,time,50,80,60,110,1.60,1.83,1.20,1.38
5,41,time,60,80,60,110,1.33,1.83,1.00,1.38
5,42,time,60,80,60,110,1.33,1.83,1.00,1.38
5,43,time,60,80,60,90,1.33,1.50,1.00,1.13
5,44,time,60,70,70,100,1.17,1.43,1.17,1.43
5,45,time,60,110,70,150,1.83,2.14,1.17,1.36
5,46,time,50,80,60,100,1.60,1.67,1.20,1.25
5,47,time,50,70,60,90,1.40,1.50,1.20,1.29
5,48,time,50,80,60,120,1.60,2.00,1.20,1.50
5,49,time,50,80,60,100,1.60,1.67,1.20,1.25
5,50,time,50,80,60,100,1.60,1.67,1.20,1.25
5,51,time,50,80,60,110,1.60,1.83,1.20,1.38
