,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
2,5,anti_first_fail,indomain_min,obj,618220.0,618220.0,618220.0,600080.0,1.0
2,5,anti_first_fail,indomain_min,time,60.0,90.0,0.00019222218543291092,,3.203703090548515e-06
2,6,anti_first_fail,indomain_min,obj,133528.0,133528.0,133528.0,87778.0,1.0
2,6,anti_first_fail,indomain_min,time,60.0,80.0,0.00019835890270769596,,3.305981711794933e-06
2,7,anti_first_fail,indomain_min,obj,4177600.0,4177600.0,4177600.0,14818800.0,1.0
2,7,anti_first_fail,indomain_min,time,60.0,80.0,0.00020878599025309086,,3.479766504218181e-06
2,8,anti_first_fail,indomain_min,obj,2794460.0,2794460.0,2877860.0,4567960.0,1.0298447642836184
2,8,anti_first_fail,indomain_min,time,50.0,80.0,0.00027568708173930645,,5.513741634786129e-06
2,9,anti_first_fail,indomain_min,obj,1324045.0,1324045.0,1725485.0,1514710.0,1.3031921120505723
2,9,anti_first_fail,indomain_min,time,50.0,80.0,0.00020980602130293846,,4.196120426058769e-06
2,10,anti_first_fail,indomain_min,obj,653356.0,653356.0,653356.0,653956.0,1.0
2,10,anti_first_fail,indomain_min,time,60.0,80.0,0.0001958578359335661,,3.2642972655594347e-06
2,11,anti_first_fail,indomain_min,obj,4188860.0,4188860.0,4188860.0,5348520.0,1.0
2,11,anti_first_fail,indomain_min,time,50.0,90.0,0.00021848292089998722,,4.369658417999745e-06
2,12,anti_first_fail,indomain_min,obj,1826820.0,1826820.0,1826820.0,1896820.0,1.0
2,12,anti_first_fail,indomain_min,time,60.0,80.0,0.00019629602320492268,,3.271600386748711e-06
2,13,anti_first_fail,indomain_min,obj,1506776.0,1506776.0,1506776.0,1672576.0,1.0
2,13,anti_first_fail,indomain_min,time,60.0,90.0,0.00022133206948637962,,3.688867824772994e-06
2,14,anti_first_fail,indomain_min,obj,1825770.0,1825770.0,1861920.0,1862170.0,1.0197998652623277
2,14,anti_first_fail,indomain_min,time,60.0,90.0,0.00018822797574102879,,3.1371329290171464e-06
2,15,anti_first_fail,indomain_min,obj,1908500.0,1908500.0,1908500.0,2032200.0,1.0
2,15,anti_first_fail,indomain_min,time,50.0,70.0,0.00019013206474483013,,3.8026412948966025e-06
2,16,anti_first_fail,indomain_min,obj,1853904.0,1853904.0,1853904.0,2281104.0,1.0
