,,,,,Gecode,OGSA,Preferred,Obj ratio,OGSA,Optimised,Preferred,Max ratio
2,27,input_order,indomain_min,obj,1390410,1390410,2053490,1,2050,2050,2000,1
11,27,input_order,indomain_min,obj,1716360,1718160,2168900,1.001048731,2050,2080,2000,0.985576923
12,27,input_order,indomain_min,obj,1380660,1442060,2309140,1.044471485,2050,2080,2000,0.985576923
1,27,input_order,indomain_min,obj,1538100,1621600,2239110,1.054287758,2000,2080,2000,0.961538462
5,27,input_order,indomain_min,obj,1042380,1100580,1780850,1.055833765,2050,2080,2000,0.985576923
4,27,input_order,indomain_min,obj,1248960,1321710,1850330,1.058248463,2050,2080,2000,0.985576923
3,27,input_order,indomain_min,obj,1323780,1445180,1823260,1.091707081,2050,2080,2000,0.985576923
6,27,input_order,indomain_min,obj,1296660,1439760,2172580,1.110360465,2050,2080,2000,0.985576923
7,27,input_order,indomain_min,obj,707460,795510,1584290,1.124459333,2050,2080,2000,0.985576923
9,27,input_order,indomain_min,obj,1399020,1655970,1783400,1.183664279,2000,2080,2000,0.961538462
10,27,input_order,indomain_min,obj,1665060,2003460,2240970,1.203235919,2000,2080,2000,0.961538462
8,27,input_order,indomain_min,obj,787800,986550,1650960,1.252284844,2000,2080,2000,0.961538462
1,28,input_order,indomain_min,obj,1111550,1111550,1499930,1,2610,2690,2400,0.970260223
2,28,input_order,indomain_min,obj,974650,974650,1478170,1,2610,2690,2400,0.970260223
3,28,input_order,indomain_min,obj,954650,954650,1335420,1,2610,2690,2400,0.970260223
4,28,input_order,indomain_min,obj,899680,899680,1393660,1,2690,2690,2400,1
5,28,input_order,indomain_min,obj,732920,732920,1870210,1,2610,2690,2400,0.970260223
6,28,input_order,indomain_min,obj,911680,911680,2042490,1,2690,2690,2400,1
7,28,input_order,indomain_min,obj,495060,495060,1675300,1,2610,2690,2400,0.970260223
8,28,input_order,indomain_min,obj,543660,543660,1718640,1,2690,2690,2400,1
9,28,input_order,indomain_min,obj,998630,998630,1963550,1,2690,2690,2400,1
10,28,input_order,indomain_min,obj,1174150,1174150,1813430,1,2690,2690,2400,1
11,28,input_order,indomain_min,obj,1210410,1210410,1807530,1,2610,2690,2400,0.970260223
12,28,input_order,indomain_min,obj,1009560,1009560,1630450,1,2610,2690,2400,0.970260223
1,29,input_order,indomain_min,obj,978120,978120,1463414,1,2700,3158,2000,0.854971501
2,29,input_order,indomain_min,obj,837462,837462,1484354,1,3158,3158,2000,1
3,29,input_order,indomain_min,obj,844088,844088,1307312,1,3158,3158,2000,1
5,29,input_order,indomain_min,obj,632916,632916,1559604,1,3158,3158,2000,1
8,29,input_order,indomain_min,obj,458014,458014,1587426,1,3158,3158,2000,1
11,29,input_order,indomain_min,obj,1084856,1085556,1833726,1.000645247,3158,3158,2000,1
12,29,input_order,indomain_min,obj,859136,859836,1518478,1.000814772,3158,3158,2000,1
7,29,input_order,indomain_min,obj,407696,408396,1349312,1.001716966,3158,3158,2000,1
6,29,input_order,indomain_min,obj,792970,795370,1769054,1.003026596,3158,2158,2000,1.46339203
10,29,input_order,indomain_min,obj,1059060,1064460,1767116,1.005098861,3158,2158,2000,1.46339203
4,29,input_order,indomain_min,obj,789070,793270,1300408,1.005322722,3158,3158,2000,1
9,29,input_order,indomain_min,obj,902306,915406,1773380,1.014518356,3158,2000,2000,1.579
2,30,input_order,indomain_min,obj,600864,600864,794184,1,1830,1830,1600,1
5,30,input_order,indomain_min,obj,449898,449898,512096,1,1830,1830,1600,1
6,30,input_order,indomain_min,obj,560616,560616,625322,1,1830,1830,1600,1
10,30,input_order,indomain_min,obj,745710,745710,811940,1,1830,1830,1600,1
11,30,input_order,indomain_min,obj,769944,769944,835092,1,1830,1830,1600,1
1,30,input_order,indomain_min,obj,693914,693978,819186,1.00009223,1740,1830,1600,0.950819672
7,30,input_order,indomain_min,obj,291142,291270,347658,1.000439648,1830,1830,1600,1
12,30,input_order,indomain_min,obj,609266,609690,709930,1.000695919,1830,1830,1600,1
4,30,input_order,indomain_min,obj,560408,560904,602944,1.000885069,1830,1830,1600,1
9,30,input_order,indomain_min,obj,637694,640662,678768,1.00465427,1830,1502,1600,1.218375499
3,30,input_order,indomain_min,obj,598968,602064,641902,1.00516889,1830,1830,1600,1
8,30,input_order,indomain_min,obj,327300,330132,402376,1.008652612,1830,1830,1600,1
1,31,input_order,indomain_min,obj,1099850,1099850,2237200,1,3175,3100,1200,1.024193548
2,31,input_order,indomain_min,obj,949500,949500,1342700,1,3175,3100,1200,1.024193548
4,31,input_order,indomain_min,obj,887800,887800,1420700,1,3100,3100,1200,1
5,31,input_order,indomain_min,obj,711450,711450,1646500,1,3175,3100,1200,1.024193548
6,31,input_order,indomain_min,obj,889150,889150,1971900,1,3100,3100,1200,1
8,31,input_order,indomain_min,obj,517600,517600,1674100,1,3175,3100,1200,1.024193548
9,31,input_order,indomain_min,obj,1009900,1009900,1871200,1,3100,3100,1200,1
10,31,input_order,indomain_min,obj,1178400,1178400,1796500,1,3100,3100,1200,1
11,31,input_order,indomain_min,obj,1219800,1219800,1577700,1,3100,3100,1200,1
12,31,input_order,indomain_min,obj,966500,966500,1532200,1,3175,3100,1200,1.024193548
3,31,input_order,indomain_min,obj,948700,948775,1245750,1.000079056,3100,3100,1200,1
7,31,input_order,indomain_min,obj,460100,460250,1436150,1.000326016,3100,3100,1200,1
4,32,input_order,indomain_min,obj,2664666,2669708,4306694,1.00189217,8493,8400,4000,1.011071429
11,32,input_order,indomain_min,obj,3664962,3673688,5791399,1.002380925,6800,6800,4000,1
2,32,input_order,indomain_min,obj,2897614,2953708,5443884,1.019358686,6400,6800,4000,0.941176471
12,32,input_order,indomain_min,obj,2898582,3044703,5240312,1.050411201,4800,8400,4000,0.571428571
5,32,input_order,indomain_min,obj,2146713,2287439,4745411,1.065554175,4800,8400,4000,0.571428571
1,32,input_order,indomain_min,obj,3294414,3541335,8086079,1.074951418,4000,6800,4000,0.588235294
3,32,input_order,indomain_min,obj,2848740,3095624,4200405,1.08666428,4800,8400,4000,0.571428571
6,32,input_order,indomain_min,obj,2663903,2948908,5978601,1.106987754,4493,8400,4000,0.534880952
10,32,input_order,indomain_min,obj,3542562,3998693,5890897,1.12875738,4493,8400,4000,0.534880952
7,32,input_order,indomain_min,obj,1383570,1565133,4570119,1.13122791,4800,6800,4000,0.705882353
9,32,input_order,indomain_min,obj,3025484,3425261,5772126,1.132136544,4493,8400,4000,0.534880952
8,32,input_order,indomain_min,obj,1549728,1939570,5572463,1.251555112,4800,8400,4000,0.571428571
1,33,input_order,indomain_min,obj,231535,231535,368359,1,1103,1003,700,1.099700897
2,33,input_order,indomain_min,obj,173248,173248,286401,1,1003,1003,700,1
5,33,input_order,indomain_min,obj,170959,170959,352597,1,1003,1003,700,1
6,33,input_order,indomain_min,obj,214648,214648,379093,1,1003,1003,700,1
7,33,input_order,indomain_min,obj,131573,131573,290988,1,910,1003,700,0.907278166
10,33,input_order,indomain_min,obj,229333,229333,304788,1,1003,1003,700,1
11,33,input_order,indomain_min,obj,227628,227628,297523,1,700,1003,700,0.697906281
4,33,input_order,indomain_min,obj,180048,180148,254287,1.000555407,1003,1003,700,1
8,33,input_order,indomain_min,obj,151770,151870,343802,1.000658892,1003,1003,700,1
3,33,input_order,indomain_min,obj,176944,177144,238872,1.001130301,793,1003,700,0.790628116
12,33,input_order,indomain_min,obj,196043,196343,330375,1.001530277,700,1003,700,0.697906281
9,33,input_order,indomain_min,obj,216241,217041,339138,1.003699576,1003,700,700,1.432857143
1,34,input_order,indomain_min,obj,1899300,1899300,1967020,1,7205,7205,5000,1
2,34,input_order,indomain_min,obj,1609475,1609475,1828125,1,7205,7205,5000,1
4,34,input_order,indomain_min,obj,1529445,1529445,1587840,1,7205,7205,5000,1
5,34,input_order,indomain_min,obj,1218030,1218030,1305445,1,7205,7205,5000,1
6,34,input_order,indomain_min,obj,1529460,1529460,1629110,1,7205,7205,5000,1
7,34,input_order,indomain_min,obj,788940,788940,870955,1,7200,7205,5000,0.999306037
8,34,input_order,indomain_min,obj,886605,886605,981050,1,7205,7205,5000,1
9,34,input_order,indomain_min,obj,1734035,1734035,1852695,1,7205,7205,5000,1
10,34,input_order,indomain_min,obj,2017810,2017810,2159820,1,7205,7205,5000,1
11,34,input_order,indomain_min,obj,2103840,2103840,2353875,1,6200,7205,5000,0.860513532
12,34,input_order,indomain_min,obj,1665540,1665540,1771190,1,6200,7205,5000,0.860513532
3,34,input_order,indomain_min,obj,1636320,1636325,1771630,1.000003056,6200,7205,5000,0.860513532
1,35,input_order,indomain_min,obj,1847170,1847170,20047692,1,6072,7302,6000,0.831552999
4,35,input_order,indomain_min,obj,1484508,1490980,2787316,1.004359694,7800,7302,6000,1.068200493
11,35,input_order,indomain_min,obj,2046096,2059340,3065870,1.006472815,7172,7302,6000,0.982196658
8,35,input_order,indomain_min,obj,859312,865784,2598486,1.007531607,7172,7302,6000,0.982196658
5,35,input_order,indomain_min,obj,1179382,1191626,2583166,1.010381708,7172,7302,6000,0.982196658
7,35,input_order,indomain_min,obj,767286,787702,2355174,1.026608071,7230,7302,6000,0.990139688
2,35,input_order,indomain_min,obj,1542184,1596932,7088072,1.035500303,7302,7302,6000,1
12,35,input_order,indomain_min,obj,1619826,1677904,3233168,1.035854468,6072,7302,6000,0.831552999
3,35,input_order,indomain_min,obj,1591408,1661630,2462634,1.044125705,6072,7302,6000,0.831552999
6,35,input_order,indomain_min,obj,1484508,1612896,3472024,1.086485219,7302,7302,6000,1
10,35,input_order,indomain_min,obj,1943238,2322418,3173476,1.195127926,7302,7302,6000,1
9,35,input_order,indomain_min,obj,1683434,2030136,2907292,1.205949268,7302,7302,6000,1
5,36,input_order,indomain_min,obj,569520,549720,1428600,0.965233881,2860,1820,1760,1.571428571
3,36,input_order,indomain_min,obj,741100,737430,1057690,0.995047902,2860,1820,1760,1.571428571
12,36,input_order,indomain_min,obj,752770,749820,1277000,0.99608114,2860,1820,1760,1.571428571
1,36,input_order,indomain_min,obj,854350,854310,1623020,0.999953181,2815,1820,1760,1.546703297
11,36,input_order,indomain_min,obj,958615,958615,1445280,1,1820,1820,1760,1
8,36,input_order,indomain_min,obj,405875,407220,1697680,1.003313828,2860,1820,1760,1.571428571
2,36,input_order,indomain_min,obj,756505,761530,1335440,1.006642388,1820,1820,1760,1
7,36,input_order,indomain_min,obj,366030,372440,1340050,1.017512226,1820,1820,1760,1
4,36,input_order,indomain_min,obj,694295,723150,1068270,1.041560144,1700,1820,1760,0.934065934
6,36,input_order,indomain_min,obj,698110,735960,1672920,1.054217817,1820,1880,1760,0.968085106
10,36,input_order,indomain_min,obj,928310,1070470,1430980,1.153138499,1820,1880,1760,0.968085106
9,36,input_order,indomain_min,obj,783280,972120,1669600,1.241088755,1700,1880,1760,0.904255319
1,37,input_order,indomain_min,obj,583700,583700,672180,1,2105,2105,1000,1
2,37,input_order,indomain_min,obj,496345,496345,655185,1,2105,2105,1000,1
3,37,input_order,indomain_min,obj,502880,502880,597290,1,2105,2105,1000,1
4,37,input_order,indomain_min,obj,470225,470225,594930,1,2105,2105,1000,1
5,37,input_order,indomain_min,obj,374710,374710,596460,1,2105,2105,1000,1
6,37,input_order,indomain_min,obj,470225,470225,727670,1,2105,2105,1000,1
7,37,input_order,indomain_min,obj,242460,242460,527560,1,2055,2105,1000,0.976247031
8,37,input_order,indomain_min,obj,272665,272665,622940,1,2105,2105,1000,1
9,37,input_order,indomain_min,obj,533085,533085,820425,1,2105,2105,1000,1
10,37,input_order,indomain_min,obj,621250,621250,785475,1,2105,2105,1000,1
11,37,input_order,indomain_min,obj,646560,646560,768140,1,1805,2105,1000,0.857482185
12,37,input_order,indomain_min,obj,511860,511860,673420,1,1805,2105,1000,0.857482185
1,38,input_order,indomain_min,obj,409725,413725,1719835,1.009762646,1000,1075,1000,0.930232558
11,38,input_order,indomain_min,obj,463680,468950,608325,1.011365597,1075,1075,1000,1
12,38,input_order,indomain_min,obj,369555,378575,1175125,1.024407734,1055,1075,1000,0.981395349
4,38,input_order,indomain_min,obj,339860,352170,567125,1.036220797,1020,1075,1000,0.948837209
5,38,input_order,indomain_min,obj,314975,326965,557060,1.038066513,1075,1075,1000,1
7,38,input_order,indomain_min,obj,218655,227490,475510,1.040406119,1000,1075,1000,0.930232558
2,38,input_order,indomain_min,obj,362040,379745,1887515,1.048903436,1075,1075,1000,1
3,38,input_order,indomain_min,obj,359610,378845,529020,1.053488501,1020,1075,1000,0.948837209
6,38,input_order,indomain_min,obj,374370,401260,652125,1.071827337,1075,1075,1000,1
8,38,input_order,indomain_min,obj,253010,286985,516760,1.13428323,1075,1075,1000,1
10,38,input_order,indomain_min,obj,445785,516595,646700,1.158843389,1075,1075,1000,1
9,38,input_order,indomain_min,obj,408935,480570,581525,1.175174539,1075,1075,1000,1
2,39,input_order,indomain_min,obj,279466,279466,433322,1,718,718,350,1
4,39,input_order,indomain_min,obj,257646,257646,398604,1,718,718,350,1
5,39,input_order,indomain_min,obj,208278,208278,401734,1,718,718,350,1
8,39,input_order,indomain_min,obj,150110,150110,405900,1,718,718,350,1
10,39,input_order,indomain_min,obj,346876,346876,494608,1,718,718,350,1
11,39,input_order,indomain_min,obj,354651,354651,494708,1,725,718,350,1.009749304
6,39,input_order,indomain_min,obj,259196,259206,499936,1.000038581,718,718,350,1
3,39,input_order,indomain_min,obj,275243,275258,395722,1.000054497,718,718,350,1
7,39,input_order,indomain_min,obj,134691,134706,354114,1.000111366,725,718,350,1.009749304
12,39,input_order,indomain_min,obj,280131,280236,478744,1.000374825,718,718,350,1
1,39,input_order,indomain_min,obj,318320,318800,464422,1.001507917,650,718,350,0.905292479
9,39,input_order,indomain_min,obj,293622,294262,400490,1.002179673,718,718,350,1
1,40,input_order,indomain_min,obj,2200475,2200475,3344790,1,7000,7115,5000,0.983836964
2,40,input_order,indomain_min,obj,1899980,1899980,3008610,1,7080,7115,5000,0.995080815
3,40,input_order,indomain_min,obj,1912440,1912440,2840060,1,7000,7115,5000,0.983836964
4,40,input_order,indomain_min,obj,1781980,1781980,2651240,1,7080,7115,5000,0.995080815
5,40,input_order,indomain_min,obj,1425715,1425715,2597965,1,7115,7115,5000,1
6,40,input_order,indomain_min,obj,1781980,1781980,3132805,1,7115,7115,5000,1
7,40,input_order,indomain_min,obj,948105,948105,2239955,1,7035,7115,5000,0.988756149
8,40,input_order,indomain_min,obj,1069450,1069450,2586000,1,7080,7115,5000,0.995080815
9,40,input_order,indomain_min,obj,2019785,2019785,2827190,1,7080,7115,5000,0.995080815
10,40,input_order,indomain_min,obj,2380705,2380705,3423915,1,7080,7115,5000,0.995080815
11,40,input_order,indomain_min,obj,2474280,2474280,3567685,1,7035,7115,5000,0.988756149
12,40,input_order,indomain_min,obj,1961555,1961555,3298780,1,7000,7115,5000,0.983836964
1,41,input_order,indomain_min,obj,992030,992030,2432808,1,2854,4850,4200,0.588453608
2,41,input_order,indomain_min,obj,818860,818860,2193432,1,4804,4850,4200,0.990515464
6,41,input_order,indomain_min,obj,796440,796440,1368680,1,4850,4850,4200,1
9,41,input_order,indomain_min,obj,903302,903302,1307998,1,4800,4850,4200,0.989690722
11,41,input_order,indomain_min,obj,1098864,1098868,1436772,1.00000364,4850,4850,4200,1
8,41,input_order,indomain_min,obj,460664,460668,1122520,1.000008683,4850,4850,4200,1
12,41,input_order,indomain_min,obj,869934,869942,2940356,1.000009196,4800,4850,4200,0.989690722
3,41,input_order,indomain_min,obj,854672,854680,1282484,1.00000936,4850,4850,4200,1
7,41,input_order,indomain_min,obj,412074,412078,1055060,1.000009707,4850,4850,4200,1
4,41,input_order,indomain_min,obj,796428,796436,1356874,1.000010045,4800,4850,4200,0.989690722
5,41,input_order,indomain_min,obj,631350,631358,1191156,1.000012671,4850,4850,4200,1
10,41,input_order,indomain_min,obj,1039410,1039522,1487988,1.000107753,4800,4850,4200,0.989690722
1,42,input_order,indomain_min,obj,442260,442260,619782,1,2275,2375,1300,0.957894737
7,42,input_order,indomain_min,obj,183708,183708,416957,1,2375,2375,1300,1
11,42,input_order,indomain_min,obj,489888,489888,808980,1,2375,2375,1300,1
12,42,input_order,indomain_min,obj,387828,387828,644581,1,2275,2375,1300,0.957894737
3,42,input_order,indomain_min,obj,381024,381026,596000,1.000005249,2275,2375,1300,0.957894737
4,42,input_order,indomain_min,obj,355883,355885,518010,1.00000562,2375,2375,1300,1
8,42,input_order,indomain_min,obj,206195,206197,473197,1.0000097,2375,2375,1300,1
5,42,input_order,indomain_min,obj,283114,283122,487596,1.000028257,2375,2375,1300,1
6,42,input_order,indomain_min,obj,355883,355899,572764,1.000044959,2375,2375,1300,1
2,42,input_order,indomain_min,obj,372483,372501,660274,1.000048324,2375,2375,1300,1
9,42,input_order,indomain_min,obj,403511,403533,626480,1.000054521,2375,2375,1300,1
10,42,input_order,indomain_min,obj,468318,468346,745341,1.000059788,2375,2375,1300,1
9,43,input_order,indomain_min,obj,1048254,1051246,1929526,1.00285427,4910,4910,2400,1
5,43,input_order,indomain_min,obj,768454,775062,1501222,1.008599083,3600,3810,2400,0.94488189
4,43,input_order,indomain_min,obj,952256,963060,1516800,1.011345689,2400,3600,2400,0.666666667
8,43,input_order,indomain_min,obj,542412,549008,1699238,1.012160498,3714,4910,2400,0.756415479
6,43,input_order,indomain_min,obj,941468,957060,1831250,1.01656137,4910,4910,2400,1
7,43,input_order,indomain_min,obj,508486,518690,1436310,1.020067416,3600,3600,2400,1
1,43,input_order,indomain_min,obj,1196390,1222222,2814782,1.021591621,3600,3600,2400,1
11,43,input_order,indomain_min,obj,1379956,1414896,1882066,1.025319648,2404,3600,2400,0.667777778
12,43,input_order,indomain_min,obj,1070262,1104518,2840688,1.032007116,3600,3810,2400,0.94488189
2,43,input_order,indomain_min,obj,1077536,1145372,3491112,1.062954741,3600,3600,2400,1
10,43,input_order,indomain_min,obj,1256914,1425554,1991484,1.13416988,2400,4910,2400,0.488798371
3,43,input_order,indomain_min,obj,1052696,1204568,1480528,1.144269571,2400,3810,2400,0.62992126
1,44,input_order,indomain_min,obj,1054820,1054820,1102474,1,4332,3682,3500,1.176534492
3,44,input_order,indomain_min,obj,908768,908768,952354,1,3682,3682,3500,1
11,44,input_order,indomain_min,obj,1168416,1171968,1312762,1.003040013,3682,3682,3500,1
12,44,input_order,indomain_min,obj,924996,932100,990072,1.007680033,3630,3682,3500,0.985877241
8,44,input_order,indomain_min,obj,492022,497826,630092,1.01179622,4280,3682,3500,1.162411733
7,44,input_order,indomain_min,obj,438156,445260,527598,1.016213403,3682,3682,3500,1
4,44,input_order,indomain_min,obj,849038,869050,895732,1.023570205,3552,3682,3500,0.964693102
5,44,input_order,indomain_min,obj,677012,701528,768562,1.036212061,3682,3682,3500,1
6,44,input_order,indomain_min,obj,849038,886810,948908,1.044487997,3630,3682,3500,0.985877241
2,44,input_order,indomain_min,obj,896994,942730,1011802,1.050988078,3682,3682,3500,1
9,44,input_order,indomain_min,obj,962634,1074998,1079640,1.116725568,3682,3682,3500,1
10,44,input_order,indomain_min,obj,1115768,1305928,1217076,1.170429695,3552,3682,3500,0.964693102
2,45,input_order,indomain_min,obj,289218,289218,482221,1,1317,1267,1200,1.039463299
7,45,input_order,indomain_min,obj,143439,143439,355075,1,1267,1267,1200,1
8,45,input_order,indomain_min,obj,160716,160716,340437,1,1302,1267,1200,1.027624309
11,45,input_order,indomain_min,obj,382254,382254,479538,1,1267,1267,1200,1
12,45,input_order,indomain_min,obj,302601,302649,571485,1.000158625,1267,1267,1200,1
3,45,input_order,indomain_min,obj,297294,297342,429500,1.000161456,1267,1267,1200,1
4,45,input_order,indomain_min,obj,277470,277620,418313,1.000540599,1267,1267,1200,1
5,45,input_order,indomain_min,obj,220703,220899,392262,1.000888071,1267,1267,1200,1
1,45,input_order,indomain_min,obj,344955,345555,510524,1.001739357,1267,1267,1200,1
6,45,input_order,indomain_min,obj,277424,277920,476431,1.001787877,1267,1315,1200,0.963498099
9,45,input_order,indomain_min,obj,314781,316119,393304,1.004250574,1267,1315,1200,0.963498099
10,45,input_order,indomain_min,obj,364121,365805,479449,1.004624836,1267,1315,1200,0.963498099
1,46,input_order,indomain_min,obj,1614860,1614860,2326005,1,6993,7043,6000,0.992900753
2,46,input_order,indomain_min,obj,1327159,1327159,2375495,1,7043,7043,6000,1
3,46,input_order,indomain_min,obj,1392650,1392650,2286996,1,6993,7043,6000,0.992900753
4,46,input_order,indomain_min,obj,1295653,1295653,2357857,1,7043,7043,6000,1
5,46,input_order,indomain_min,obj,1027520,1027520,3207762,1,7043,7043,6000,1
6,46,input_order,indomain_min,obj,1295653,1295653,3575646,1,7043,7043,6000,1
7,46,input_order,indomain_min,obj,672174,672174,2576715,1,7043,7043,6000,1
8,46,input_order,indomain_min,obj,749085,749085,3136171,1,7043,7043,6000,1
9,46,input_order,indomain_min,obj,1472333,1472333,3079497,1,7043,7043,6000,1
10,46,input_order,indomain_min,obj,1684366,1684366,2953098,1,7043,7043,6000,1
11,46,input_order,indomain_min,obj,1790154,1790154,2946279,1,7043,7043,6000,1
12,46,input_order,indomain_min,obj,1417494,1417494,2456707,1,7043,7043,6000,1
7,47,input_order,indomain_min,obj,270240,270240,760680,1,3400,3430,2400,0.991253644
11,47,input_order,indomain_min,obj,718690,718690,1080110,1,2430,3430,2400,0.70845481
12,47,input_order,indomain_min,obj,568840,571240,945700,1.004219113,3400,3430,2400,0.991253644
3,47,input_order,indomain_min,obj,558870,561270,798170,1.00429438,3430,3430,2400,1
4,47,input_order,indomain_min,obj,521230,523570,825640,1.004489381,3430,3430,2400,1
1,47,input_order,indomain_min,obj,648900,653700,903220,1.007397134,2430,3430,2400,0.70845481
8,47,input_order,indomain_min,obj,302690,305030,970840,1.007730682,3430,3430,2400,1
5,47,input_order,indomain_min,obj,414490,419080,852540,1.01107385,3430,3430,2400,1
6,47,input_order,indomain_min,obj,521730,531270,1070440,1.01828532,3430,3430,2400,1
2,47,input_order,indomain_min,obj,538400,554210,884640,1.029364785,4630,3430,2400,1.349854227
9,47,input_order,indomain_min,obj,591720,618060,1030490,1.044514297,3430,3430,2400,1
10,47,input_order,indomain_min,obj,682130,715370,1107130,1.048729714,3430,4600,2400,0.745652174
1,48,input_order,indomain_min,obj,274040,274040,1875952,1,1312,1252,1340,1.047923323
12,48,input_order,indomain_min,obj,240312,240312,496672,1,1260,1252,1340,1.006389776
3,48,input_order,indomain_min,obj,236096,237400,361292,1.005523177,1252,1252,1340,1
4,48,input_order,indomain_min,obj,220084,221788,416320,1.007742498,1252,1452,1340,0.862258953
11,48,input_order,indomain_min,obj,303552,306108,424692,1.008420304,1252,1252,1340,1
7,48,input_order,indomain_min,obj,113832,115136,428412,1.011455478,1252,1252,1340,1
8,48,input_order,indomain_min,obj,127332,129036,433192,1.013382339,1200,1452,1340,0.826446281
5,48,input_order,indomain_min,obj,175360,177968,480176,1.014872263,1200,1452,1340,0.826446281
2,48,input_order,indomain_min,obj,230900,237124,492544,1.026955392,1252,1452,1340,0.862258953
6,48,input_order,indomain_min,obj,220240,229456,575856,1.04184526,1252,1452,1340,0.862258953
9,48,input_order,indomain_min,obj,249944,276860,450600,1.107688122,1252,1452,1340,0.862258953
10,48,input_order,indomain_min,obj,287272,318256,480504,1.107855969,1252,1452,1340,0.862258953
11,49,input_order,indomain_min,obj,146472,147226,184949,1.005147742,1098,1098,1000,1
1,49,input_order,indomain_min,obj,131635,132496,243099,1.006540814,1113,1098,1000,1.013661202
3,49,input_order,indomain_min,obj,113713,115182,147745,1.012918488,1000,1098,1000,0.910746812
4,49,input_order,indomain_min,obj,106031,107407,153951,1.012977337,1098,1098,1000,1
12,49,input_order,indomain_min,obj,115737,117430,187563,1.014627993,1000,1098,1000,0.910746812
7,49,input_order,indomain_min,obj,55167,56146,119111,1.017746116,1098,1098,1000,1
8,49,input_order,indomain_min,obj,61503,63685,132894,1.035477944,1075,1098,1000,0.979052823
2,49,input_order,indomain_min,obj,113486,117697,171283,1.037105899,1068,1106,1000,0.965641953
6,49,input_order,indomain_min,obj,106182,111711,172361,1.052070972,1098,1098,1000,1
5,49,input_order,indomain_min,obj,85039,89554,144177,1.053093287,1098,1098,1000,1
10,49,input_order,indomain_min,obj,139685,157734,195929,1.129212156,1098,1098,1000,1
9,49,input_order,indomain_min,obj,120409,136345,157313,1.132348911,1098,1098,1000,1
1,50,input_order,indomain_min,obj,287900,287900,1119444,1,350,350,350,1
2,50,input_order,indomain_min,obj,216946,216946,423104,1,350,350,350,1
3,50,input_order,indomain_min,obj,184946,184946,211492,1,350,350,350,1
4,50,input_order,indomain_min,obj,196898,196898,236502,1,350,350,350,1
5,50,input_order,indomain_min,obj,179848,179848,238466,1,350,350,350,1
6,50,input_order,indomain_min,obj,234338,234338,305408,1,350,350,350,1
7,50,input_order,indomain_min,obj,152352,152352,228342,1,350,350,350,1
8,50,input_order,indomain_min,obj,172696,172696,288348,1,350,350,350,1
9,50,input_order,indomain_min,obj,219120,219120,309294,1,350,350,350,1
10,50,input_order,indomain_min,obj,234208,234208,293408,1,350,350,350,1
11,50,input_order,indomain_min,obj,232332,232332,270678,1,350,350,350,1
12,50,input_order,indomain_min,obj,225012,225012,279786,1,350,350,350,1
1,51,input_order,indomain_min,obj,141375,141375,422563,1,423,493,210,0.85801217
2,51,input_order,indomain_min,obj,120444,120444,175354,1,473,493,210,0.959432049
3,51,input_order,indomain_min,obj,121800,121800,147802,1,443,493,210,0.898580122
4,51,input_order,indomain_min,obj,113916,113916,149940,1,473,493,210,0.959432049
5,51,input_order,indomain_min,obj,90807,90807,153616,1,493,493,210,1
6,51,input_order,indomain_min,obj,113916,113916,185945,1,473,493,210,0.959432049
7,51,input_order,indomain_min,obj,58725,58725,129059,1,423,493,210,0.85801217
8,51,input_order,indomain_min,obj,66066,66066,143475,1,493,493,210,1
9,51,input_order,indomain_min,obj,129141,129141,189012,1,493,493,210,1
10,51,input_order,indomain_min,obj,150621,150621,193620,1,473,493,210,0.959432049
11,51,input_order,indomain_min,obj,156600,156600,186193,1,443,493,210,0.898580122
12,51,input_order,indomain_min,obj,123975,123975,168623,1,493,493,210,1
11,52,input_order,indomain_min,obj,1017103,1020475,1265458,1.003315298,1200,1238,1200,0.969305331
1,52,input_order,indomain_min,obj,870568,877730,1123348,1.008226813,1900,1238,1200,1.534733441
12,52,input_order,indomain_min,obj,779123,787485,1162741,1.01073258,1700,1238,1200,1.373182553
3,52,input_order,indomain_min,obj,768526,793245,965605,1.032164169,1900,1900,1200,1
4,52,input_order,indomain_min,obj,693315,739811,1005761,1.067063312,1238,2400,1200,0.515833333
2,52,input_order,indomain_min,obj,784997,837924,1087421,1.067423188,1238,1200,1200,1.031666667
5,52,input_order,indomain_min,obj,559164,618252,1018450,1.105672039,1238,2400,1200,0.515833333
6,52,input_order,indomain_min,obj,695497,770261,1266555,1.107497229,1238,2400,1200,0.515833333
7,52,input_order,indomain_min,obj,364310,405740,880540,1.11372183,1200,1900,1200,0.631578947
10,52,input_order,indomain_min,obj,949283,1107851,1275989,1.167039755,1238,2400,1200,0.515833333
9,52,input_order,indomain_min,obj,795076,932886,1058922,1.173329342,1238,2400,1200,0.515833333
8,52,input_order,indomain_min,obj,410729,505111,1008873,1.22979142,1900,2400,1200,0.791666667
1,53,input_order,indomain_min,obj,375500,375500,395140,1,1200,1200,1200,1
4,53,input_order,indomain_min,obj,344150,344150,367675,1,1200,1200,1200,1
5,53,input_order,indomain_min,obj,339280,339280,663450,1,1200,1200,1200,1
11,53,input_order,indomain_min,obj,451680,451680,476285,1,1200,1200,1200,1
8,53,input_order,indomain_min,obj,292870,292905,582030,1.000119507,1200,1235,1200,0.971659919
12,53,input_order,indomain_min,obj,384780,384885,418020,1.000272883,1200,1200,1200,1
