,,,,,Gecode,Preferred,OGSA
,,,,,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
10,7,input_order,indomain_min,time,100.0,,0.00021048099915788043
10,8,input_order,indomain_min,obj,699250.0,606580.0,699250.0
10,8,input_order,indomain_min,time,100.0,,0.00031805499929760117
10,9,input_order,indomain_min,obj,1973600.0,1777800.0,1973600.0
10,9,input_order,indomain_min,time,90.0,,0.000496356000439846
10,10,input_order,indomain_min,obj,1501204.0,1186694.0,1501204.0
10,10,input_order,indomain_min,time,90.0,,0.0002839230000972748
11,1,input_order,indomain_min,obj,1707180.0,804580.0,1707180.0
11,1,input_order,indomain_min,time,100.0,,0.0002746290010691155
11,2,input_order,indomain_min,obj,100788426.0,394707.0,100788426.0
11,2,input_order,indomain_min,time,90.0,,0.00038847899850225076
11,3,input_order,indomain_min,obj,179772.0,166372.0,179772.0
11,3,input_order,indomain_min,time,90.0,,0.0006160350003483472
11,4,input_order,indomain_min,obj,1035786.0,660546.0,1035786.0
11,4,input_order,indomain_min,time,90.0,,0.0002054779997706646
11,5,input_order,indomain_min,obj,379401.0,172201.0,379401.0
11,5,input_order,indomain_min,time,90.0,,0.0002543809987400891
11,6,input_order,indomain_min,obj,1907372.0,1746140.0,1907372.0
11,6,input_order,indomain_min,time,90.0,,0.0003948840003431542
11,7,input_order,indomain_min,obj,3246455.0,3752955.0,3246455.0
11,7,input_order,indomain_min,time,90.0,,0.00024638799914100673
11,8,input_order,indomain_min,obj,699590.0,598600.0,699590.0
11,8,input_order,indomain_min,time,100.0,,0.00023798399888619315
11,9,input_order,indomain_min,obj,1801440.0,1768240.0,1801440.0
11,9,input_order,indomain_min,time,100.0,,0.0006227979993127519
11,10,input_order,indomain_min,obj,1587660.0,1320315.0,1587660.0
11,10,input_order,indomain_min,time,90.0,,0.00029938599982415326
12,1,input_order,indomain_min,obj,1786690.0,702790.0,1786690.0
12,1,input_order,indomain_min,time,100.0,,0.00025952400028472766
12,2,input_order,indomain_min,obj,100768490.0,455711.0,100768490.0
12,2,input_order,indomain_min,time,90.0,,0.0003654469983302988
12,3,input_order,indomain_min,obj,189601.0,162796.0,189601.0
12,3,input_order,indomain_min,time,90.0,,0.0003569250002328772
12,4,input_order,indomain_min,obj,1094808.0,754188.0,1094808.0
12,4,input_order,indomain_min,time,100.0,,0.00025705199914227705
12,5,input_order,indomain_min,obj,377942.0,149942.0,377942.0
12,5,input_order,indomain_min,time,90.0,,0.0002882940007111756
12,6,input_order,indomain_min,obj,2003780.0,1492984.0,2003780.0
12,6,input_order,indomain_min,time,90.0,,0.0006731060002493905
12,7,input_order,indomain_min,obj,2688325.0,3534625.0,2688325.0
12,7,input_order,indomain_min,time,90.0,,0.00034287499875063077
12,8,input_order,indomain_min,obj,658080.0,569980.0,658080.0
12,8,input_order,indomain_min,time,110.0,,0.0005223759999353206
12,9,input_order,indomain_min,obj,1665080.0,1477280.0,1665080.0
12,9,input_order,indomain_min,time,100.0,,0.0006170449996716343
12,10,input_order,indomain_min,obj,1371498.0,1009153.0,1371498.0
12,10,input_order,indomain_min,time,100.0,,0.0004376229990157299
