Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
6,71,anti_first_fail,indomain_min,obj,337458,341458,426146,0.988285529,2962,2300,2300,1.287826087
8,72,anti_first_fail,indomain_min,obj,144540,146240,423765,0.988375274,1451,1101,1000,1.317892825
2,97,anti_first_fail,indomain_min,obj,1027800,1039850,1612750,0.98841179,5150,3350,2100,1.537313433
10,70,anti_first_fail,indomain_min,obj,215080,217600,360070,0.988419118,1325,1115,1000,1.188340807
2,10,anti_first_fail,indomain_min,obj,1569100,1587400,2449900,0.988471715,8700,6600,2300,1.318181818
1,80,anti_first_fail,indomain_min,obj,190717,192937,268315,0.988493653,719,630,550,1.141269841
4,35,anti_first_fail,indomain_min,obj,1774324,1794872,2802712,0.98855183,6848,5057,5000,1.354162547
5,42,anti_first_fail,indomain_min,obj,728426,736826,1955610,0.988599751,7393,6193,4000,1.193767156
8,53,anti_first_fail,indomain_min,obj,755565,763725,3052485,0.989315526,8640,8520,6000,1.014084507
4,5,anti_first_fail,indomain_min,obj,1261572,1275158,2194950,0.989345634,4143,3050,2300,1.358360656
8,68,anti_first_fail,indomain_min,obj,125350,126690,393789,0.989423001,1588,1463,1200,1.085440875
5,10,anti_first_fail,indomain_min,obj,1181800,1194400,2067500,0.98945077,8700,6600,2300,1.318181818
6,68,anti_first_fail,indomain_min,obj,216988,219248,454307,0.989692038,1603,1200,1200,1.335833333
10,81,anti_first_fail,indomain_min,obj,146552,148052,228052,0.989868425,750,700,500,1.071428571
5,97,anti_first_fail,indomain_min,obj,769400,777200,1704500,0.989963973,5150,3350,2100,1.537313433
3,11,anti_first_fail,indomain_min,obj,1324080,1337480,1484420,0.989981159,2000,2000,2000,1
10,86,anti_first_fail,indomain_min,obj,1824280,1842680,2722250,0.990014544,7630,5330,4000,1.4315197
5,87,anti_first_fail,indomain_min,obj,659570,666170,938830,0.990092619,4735,3435,2400,1.37845706
10,24,anti_first_fail,indomain_min,obj,4666708,4712908,6908584,0.990197135,9862,8762,6000,1.125542114
10,75,anti_first_fail,indomain_min,obj,4473950,4517750,6927250,0.990304908,14150,8200,6000,1.725609756
2,5,anti_first_fail,indomain_min,obj,1361022,1374324,3923136,0.99032106,4143,3050,2300,1.358360656
9,68,anti_first_fail,indomain_min,obj,245961,248361,412546,0.990336647,1603,1200,1200,1.335833333
6,93,anti_first_fail,indomain_min,obj,827750,835760,1130040,0.990415909,3845,2400,2400,1.602083333
5,70,anti_first_fail,indomain_min,obj,131240,132500,336320,0.990490566,1325,1115,1000,1.188340807
11,11,anti_first_fail,indomain_min,obj,1470960,1484850,1735240,0.99064552,2000,2015,2000,0.992555831
9,72,anti_first_fail,indomain_min,obj,284177,286827,490802,0.990760981,1451,1000,1000,1.451
9,66,anti_first_fail,indomain_min,obj,389700,393300,747600,0.990846682,3600,4500,2400,0.8
9,99,anti_first_fail,indomain_min,obj,848750,856575,1721010,0.990864781,8755,7400,5000,1.183108108
8,75,anti_first_fail,indomain_min,obj,1955500,1973500,6646250,0.990879149,14150,8250,6000,1.715151515
3,51,anti_first_fail,indomain_min,obj,1848600,1865325,2652975,0.991033734,6825,4000,4000,1.70625
5,71,anti_first_fail,indomain_min,obj,265602,268002,359314,0.991044843,2962,2312,2300,1.281141869
11,51,anti_first_fail,indomain_min,obj,2375400,2396850,3559500,0.991050754,6900,4000,4000,1.725
2,60,anti_first_fail,indomain_min,obj,934845,943245,1399520,0.991094572,5685,5120,5120,1.110351563
7,50,anti_first_fail,indomain_min,obj,468045,472245,1527040,0.991106311,5535,3500,2400,1.581428571
2,68,anti_first_fail,indomain_min,obj,222188,224148,391484,0.991255777,1588,1463,1200,1.085440875
9,93,anti_first_fail,indomain_min,obj,940425,948555,1140830,0.991429068,3845,2400,2400,1.602083333
10,10,anti_first_fail,indomain_min,obj,1943800,1960600,2916900,0.991431195,8700,6600,2300,1.318181818
6,87,anti_first_fail,indomain_min,obj,833540,840640,1149015,0.991554054,4735,3135,2400,1.510366826
8,58,anti_first_fail,indomain_min,obj,491016,495132,970366,0.991687065,5827,4575,2400,1.273661202
9,5,anti_first_fail,indomain_min,obj,1433524,1445424,2419228,0.991767122,4143,2400,2300,1.72625
9,87,anti_first_fail,indomain_min,obj,944630,952430,1213330,0.991810422,4735,3135,2400,1.510366826
5,58,anti_first_fail,indomain_min,obj,671154,676578,1084556,0.991983186,5827,4575,2400,1.273661202
4,93,anti_first_fail,indomain_min,obj,827750,834350,1047115,0.992089651,3845,2540,2400,1.513779528
10,99,anti_first_fail,indomain_min,obj,965370,973010,1750645,0.992148077,6355,7400,5000,0.858783784
