,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,87,anti_first_fail,indomain_min,time,60.0,100.0,60.0,90.0,0.00018702400848269463,,3.1170668080449106e-06
1,88,anti_first_fail,indomain_min,obj,975525.0,975525.0,975525.0,975525.0,975525.0,3208615.0,1.0
1,88,anti_first_fail,indomain_min,time,70.0,90.0,60.0,70.0,0.00016833702102303505,,2.805617017050584e-06
1,89,anti_first_fail,indomain_min,obj,1118332.0,1118332.0,1118332.0,1118332.0,1118332.0,2399232.0,1.0
1,89,anti_first_fail,indomain_min,time,60.0,100.0,60.0,90.0,0.00018627592362463474,,3.1045987270772456e-06
1,90,anti_first_fail,indomain_min,obj,653731.0,653731.0,653731.0,653731.0,653731.0,761431.0,1.0
1,90,anti_first_fail,indomain_min,time,70.0,110.0,60.0,90.0,0.00018070987425744534,,3.011831237624089e-06
1,91,anti_first_fail,indomain_min,obj,709344.0,709344.0,709344.0,709344.0,709344.0,898044.0,1.0
1,91,anti_first_fail,indomain_min,time,70.0,190.0,70.0,140.0,0.00034389388747513294,,4.912769821073328e-06
1,92,anti_first_fail,indomain_min,obj,1541680.0,1541680.0,1541680.0,1541680.0,1541680.0,1936775.0,1.0
1,92,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00019014091230928898,,3.8028182461857795e-06
1,93,anti_first_fail,indomain_min,obj,2506578.0,2506578.0,2506578.0,2506578.0,2506578.0,2556678.0,1.0
1,93,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00017178291454911232,,2.863048575818539e-06
1,94,anti_first_fail,indomain_min,obj,1270720.0,1193080.0,1270720.0,1270720.0,1270720.0,4592620.0,1.0
1,94,anti_first_fail,indomain_min,time,60.0,150.0,60.0,110.0,0.00016753305681049824,,2.792217613508304e-06
1,95,anti_first_fail,indomain_min,obj,894440.0,894440.0,894440.0,894440.0,894440.0,2751920.0,1.0
1,95,anti_first_fail,indomain_min,time,60.0,90.0,60.0,80.0,0.00018768105655908585,,3.1280176093180975e-06
1,96,anti_first_fail,indomain_min,obj,2033071.0,2033071.0,2033071.0,2033071.0,2033071.0,19742621.0,1.0
1,96,anti_first_fail,indomain_min,time,60.0,110.0,60.0,100.0,0.0002003649715334177,,3.339416192223628e-06
1,97,anti_first_fail,indomain_min,obj,3080425.0,3080425.0,3080425.0,3080425.0,3402925.0,10695025.0,1.1046933458857138
1,97,anti_first_fail,indomain_min,time,60.0,120.0,60.0,100.0,0.00020680902525782585,,3.446817087630431e-06
1,98,anti_first_fail,indomain_min,obj,483884.0,454880.0,483884.0,483884.0,576236.0,1141436.0,1.1908556596209008
1,98,anti_first_fail,indomain_min,time,70.0,100.0,60.0,80.0,0.00018854113295674324,,3.1423522159457205e-06
1,99,anti_first_fail,indomain_min,obj,3675008.0,3675008.0,3675008.0,3675008.0,3675008.0,4913908.0,1.0
1,99,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00017254101112484932,,3.4508202224969864e-06
1,100,anti_first_fail,indomain_min,obj,1187650.0,1187650.0,1187650.0,1187650.0,1192450.0,2160450.0,1.004041594745927
1,100,anti_first_fail,indomain_min,time,60.0,100.0,50.0,90.0,0.00020613009110093117,,4.122601822018623e-06
2,1,anti_first_fail,indomain_min,obj,798014.0,798014.0,798014.0,798014.0,873994.0,994314.0,1.0952113622066781
2,1,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00019770395010709763,,3.295065835118294e-06
2,2,anti_first_fail,indomain_min,obj,2583745.0,2583745.0,2583745.0,2583745.0,2738845.0,10068445.0,1.0600291437429004
2,2,anti_first_fail,indomain_min,time,60.0,130.0,60.0,90.0,0.0001974890474230051,,3.291484123716752e-06
2,3,anti_first_fail,indomain_min,obj,748684.0,748684.0,748684.0,748684.0,748684.0,729460.0,1.0
2,3,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.0002056020312011242,,3.4267005200187367e-06
2,4,anti_first_fail,indomain_min,obj,446450.0,446450.0,446450.0,446450.0,446450.0,541950.0,1.0
2,4,anti_first_fail,indomain_min,time,60.0,90.0,60.0,60.0,0.00018764310516417027,,3.1273850860695044e-06
2,5,anti_first_fail,indomain_min,obj,195275.0,195275.0,195275.0,195275.0,199775.0,93930.0,1.0230444245295096
2,5,anti_first_fail,indomain_min,time,80.0,140.0,70.0,100.0,0.00023118010722100735,,3.302572960300105e-06
2,6,anti_first_fail,indomain_min,obj,611130.0,580742.0,611130.0,611130.0,611130.0,585972.0,1.0
2,6,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0001940110232681036,,3.2335170544683934e-06
2,7,anti_first_fail,indomain_min,obj,1732930.0,1732930.0,1732930.0,1732930.0,1732930.0,1978130.0,1.0
2,7,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0002062560524791479,,3.437600874652465e-06
2,8,anti_first_fail,indomain_min,obj,706824.0,706824.0,706824.0,706824.0,706824.0,899274.0,1.0
2,8,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00019642384722828865,,3.928476944565773e-06
2,9,anti_first_fail,indomain_min,obj,1970402.0,1970402.0,1970402.0,1970402.0,1970402.0,3687122.0,1.0
2,9,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0002134130336344242,,3.5568838939070703e-06
2,10,anti_first_fail,indomain_min,obj,1386284.0,1386284.0,1386284.0,1386284.0,1386284.0,1083884.0,1.0
2,10,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00020073703490197659,,4.014740698039532e-06
2,11,anti_first_fail,indomain_min,obj,558400.0,558400.0,558400.0,558400.0,558400.0,646700.0,1.0
2,11,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00019546179100871086,,3.9092358201742174e-06
2,12,anti_first_fail,indomain_min,obj,284364.0,284364.0,284364.0,284364.0,284364.0,547564.0,1.0
2,12,anti_first_fail,indomain_min,time,60.0,100.0,50.0,70.0,0.0002202470786869526,,4.404941573739052e-06
2,13,anti_first_fail,indomain_min,obj,1676830.0,1676830.0,1676830.0,1676830.0,1741040.0,2244140.0,1.0382924923814578
2,13,anti_first_fail,indomain_min,time,60.0,110.0,60.0,80.0,0.0006331112235784531,,1.0551853726307552e-05
2,14,anti_first_fail,indomain_min,obj,501744.0,501744.0,501744.0,501744.0,501744.0,515888.0,1.0
2,14,anti_first_fail,indomain_min,time,60.0,100.0,50.0,90.0,0.000213508028537035,,4.2701605707407e-06
2,15,anti_first_fail,indomain_min,obj,707212.0,707212.0,707212.0,707212.0,709007.0,945332.0,1.0025381356651188
2,15,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0001932100858539343,,3.2201680975655714e-06
