,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,21,input_order,indomain_min,obj,1162156,1162156,1162156,1162156,1881852,1193656,1.027
2,21,input_order,indomain_min,time,60,100,50,80,,0.000279506,
2,22,input_order,indomain_min,obj,132238,132238,132238,132238,238889,133140,1.007
2,22,input_order,indomain_min,time,60,130,50,90,,0.000533746,
2,23,input_order,indomain_min,obj,526710,526710,526710,526710,870660,526710,1.000
2,23,input_order,indomain_min,time,60,100,50,80,,0.000340717,
2,24,input_order,indomain_min,obj,1192935,1192935,1192935,1192935,1701220,1262365,1.058
2,24,input_order,indomain_min,time,60,110,50,80,,0.000387982,
2,25,input_order,indomain_min,obj,3273110,3273110,3273110,3273110,15269920,3273110,1.000
2,25,input_order,indomain_min,time,60,100,50,70,,0.0002902,
2,26,input_order,indomain_min,obj,140560,140560,140560,140560,242165,157245,1.119
2,26,input_order,indomain_min,time,60,120,50,100,,0.000508025,
2,27,input_order,indomain_min,obj,1057092,1057092,1057092,1057092,1877322,1057092,1.000
2,27,input_order,indomain_min,time,60,90,50,70,,0.000227148,
2,28,input_order,indomain_min,obj,2989188,2989188,2989188,2989188,4711800,3099388,1.037
2,28,input_order,indomain_min,time,60,110,50,90,,0.000418941,
2,29,input_order,indomain_min,obj,2480720,2480720,2480720,2480720,3152970,2490410,1.004
2,29,input_order,indomain_min,time,60,100,50,80,,0.000329381,
2,30,input_order,indomain_min,obj,1166989,1166989,1166989,1166989,3929920,1172989,1.005
2,30,input_order,indomain_min,time,60,100,50,100,,0.000459188,
2,31,input_order,indomain_min,obj,2242598,2242598,2242598,2242598,5171394,2257250,1.007
2,31,input_order,indomain_min,time,60,110,50,90,,0.000418379,
2,32,input_order,indomain_min,obj,178210,178210,178210,178210,273500,178210,1.000
2,32,input_order,indomain_min,time,60,100,50,80,,0.000320417,
2,33,input_order,indomain_min,obj,2287856,2287856,2287856,2287856,2686100,2287856,1.000
2,33,input_order,indomain_min,time,60,110,50,90,,0.00044427,
2,34,input_order,indomain_min,obj,1491750,1491750,1491750,1491750,2443900,1491750,1.000
2,34,input_order,indomain_min,time,60,110,50,90,,0.000382356,
2,35,input_order,indomain_min,obj,835473,835473,835473,835473,1368382,848109,1.015
2,35,input_order,indomain_min,time,60,120,50,100,,0.00051867,
2,36,input_order,indomain_min,obj,852392,852392,852392,852392,2063382,924624,1.085
2,36,input_order,indomain_min,time,60,110,50,100,,0.000522738,
2,37,input_order,indomain_min,obj,1461042,1461042,1461042,1461042,1549156,1622204,1.110
2,37,input_order,indomain_min,time,60,110,50,90,,0.000345361,
2,38,input_order,indomain_min,obj,637030,637030,637030,637030,746570,637940,1.001
2,38,input_order,indomain_min,time,60,110,50,90,,0.000425065,
2,39,input_order,indomain_min,obj,1134810,1134810,1134810,1134810,1710180,1149540,1.013
2,39,input_order,indomain_min,time,60,120,50,90,,0.000435079,
2,40,input_order,indomain_min,obj,1478264,1478264,1478264,1478264,4106296,1489713,1.008
2,40,input_order,indomain_min,time,60,110,50,90,,0.000426945,
2,41,input_order,indomain_min,obj,2388363,2388363,2388363,2388363,6501123,2388363,1.000
2,41,input_order,indomain_min,time,60,110,60,90,,0.00037796,
2,42,input_order,indomain_min,obj,193010,193010,193010,193010,340410,194010,1.005
2,42,input_order,indomain_min,time,60,110,50,90,,0.000499797,
2,43,input_order,indomain_min,obj,409752,409752,409752,409752,801792,409752,1.000
2,43,input_order,indomain_min,time,50,100,50,90,,0.000439815,
2,44,input_order,indomain_min,obj,585750,585750,585750,585750,1120940,623950,1.065
2,44,input_order,indomain_min,time,60,100,50,80,,0.000348146,
2,45,input_order,indomain_min,obj,1301316,1301316,1301316,1301316,2724500,1328332,1.021
2,45,input_order,indomain_min,time,60,110,50,100,,0.000520909,
2,46,input_order,indomain_min,obj,352360,352360,352360,352360,1070420,383920,1.090
2,46,input_order,indomain_min,time,60,90,50,90,,0.000269684,
2,47,input_order,indomain_min,obj,630372,630372,630372,630372,1038092,630372,1.000
2,47,input_order,indomain_min,time,60,100,50,70,,0.000263654,
2,48,input_order,indomain_min,obj,457484,457484,457484,457484,832992,468836,1.025
2,48,input_order,indomain_min,time,60,110,50,90,,0.000453958,
2,49,input_order,indomain_min,obj,993356,993356,993356,993356,1604912,1020616,1.027
2,49,input_order,indomain_min,time,60,110,50,100,,0.000440006,
2,50,input_order,indomain_min,obj,1842193,1842193,1842193,1842193,8981535,1841329,1.000
2,50,input_order,indomain_min,time,60,130,50,90,,0.000396952,
2,51,input_order,indomain_min,obj,267090,267090,267090,267090,251321,830646,3.110
2,51,input_order,indomain_min,time,60,160,60,120,,0.00058885,
2,52,input_order,indomain_min,obj,1066326,1066326,1066326,1066326,2338514,1096572,1.028
2,52,input_order,indomain_min,time,60,110,50,100,,0.000476456,
2,53,input_order,indomain_min,obj,586597,586597,586597,586597,1666686,672675,1.147
2,53,input_order,indomain_min,time,60,110,50,90,,0.000465122,
2,54,input_order,indomain_min,obj,762058,762058,762058,762058,3109815,873256,1.146
2,54,input_order,indomain_min,time,60,110,50,110,,0.000627628,
2,55,input_order,indomain_min,obj,157874,157874,157874,157874,223234,157874,1.000
2,55,input_order,indomain_min,time,70,90,60,60,,0.000230181,
2,56,input_order,indomain_min,obj,309141,309141,309141,309141,494249,342805,1.109
2,56,input_order,indomain_min,time,60,120,50,100,,0.000546706,
2,57,input_order,indomain_min,obj,219556,219556,219556,219556,701826,222106,1.012
2,57,input_order,indomain_min,time,60,110,50,90,,0.000391367,
2,58,input_order,indomain_min,obj,1217160,1217160,1217160,1217160,2226200,1332990,1.095
2,58,input_order,indomain_min,time,60,110,60,90,,0.000455123,
2,59,input_order,indomain_min,obj,845224,845224,845224,845224,1297666,846544,1.002
2,59,input_order,indomain_min,time,60,100,50,80,,0.000325594,
2,60,input_order,indomain_min,obj,716800,716800,716800,716800,948320,803200,1.121
2,60,input_order,indomain_min,time,60,100,50,80,,0.000353722,
2,61,input_order,indomain_min,obj,2175170,2175170,2175170,2175170,4112915,2209535,1.016
2,61,input_order,indomain_min,time,60,110,50,90,,0.000414758,
2,62,input_order,indomain_min,obj,1372300,1372300,1372300,1372300,1965450,1372300,1.000
2,62,input_order,indomain_min,time,60,100,50,80,,0.000344659,
2,63,input_order,indomain_min,obj,832300,832300,832300,832300,2767800,867300,1.042
2,63,input_order,indomain_min,time,60,100,50,70,,0.000266865,
2,64,input_order,indomain_min,obj,1824080,1824080,1824080,1824080,3145982,1849312,1.014
2,64,input_order,indomain_min,time,60,110,50,90,,0.000394426,
2,65,input_order,indomain_min,obj,1731417,1731417,1731417,1731417,7524859,1731417,1.000
2,65,input_order,indomain_min,time,60,100,50,70,,0.000352174,
2,66,input_order,indomain_min,obj,880100,880100,880100,880100,1255115,885276,1.006
2,66,input_order,indomain_min,time,60,110,50,80,,0.000339515,
