,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,93,first_fail,indomain_split_random,obj,1062570.0,1062570.0
1,93,first_fail,indomain_split_random,time,100.0,0.00022124999668449163
1,94,first_fail,indomain_split_random,obj,1781730.0,1075310.0
1,94,first_fail,indomain_split_random,time,90.0,0.00030798699299339205
1,95,first_fail,indomain_split_random,obj,1835570.0,1569010.0
1,95,first_fail,indomain_split_random,time,90.0,0.0004131960013182834
1,96,first_fail,indomain_split_random,obj,1695875.0,1399475.0
1,96,first_fail,indomain_split_random,time,100.0,0.0002957880060421303
1,97,first_fail,indomain_split_random,obj,4222580.0,3327580.0
1,97,first_fail,indomain_split_random,time,100.0,0.00030657699971925467
1,98,first_fail,indomain_split_random,obj,1429230.0,1021530.0
1,98,first_fail,indomain_split_random,time,90.0,0.00026747699303086847
1,99,first_fail,indomain_split_random,obj,2281040.0,2020630.0
1,99,first_fail,indomain_split_random,time,90.0,0.000295805002679117
1,100,first_fail,indomain_split_random,obj,638872.0,513157.0
1,100,first_fail,indomain_split_random,time,90.0,0.00041360099567100406
2,1,first_fail,indomain_split_random,obj,2481320.0,1904270.0
2,1,first_fail,indomain_split_random,time,120.0,0.0002789730060612783
2,2,first_fail,indomain_split_random,obj,2047904.0,1145004.0
2,2,first_fail,indomain_split_random,time,100.0,0.0005031849868828431
2,3,first_fail,indomain_split_random,obj,1859244.0,1647894.0
2,3,first_fail,indomain_split_random,time,90.0,0.0002888390008592978
2,4,first_fail,indomain_split_random,obj,1482476.0,1282626.0
2,4,first_fail,indomain_split_random,time,90.0,0.0002735070011112839
2,5,first_fail,indomain_split_random,obj,375652.0,251952.0
2,5,first_fail,indomain_split_random,time,100.0,0.0002854390040738508
2,6,first_fail,indomain_split_random,obj,419260.0,218520.0
2,6,first_fail,indomain_split_random,time,130.0,0.0006739969976479188
2,7,first_fail,indomain_split_random,obj,716281.0,663631.0
2,7,first_fail,indomain_split_random,time,90.0,0.0003114220016868785
2,8,first_fail,indomain_split_random,obj,1350944.0,955996.0
2,8,first_fail,indomain_split_random,time,100.0,0.0005464169953484088
2,9,first_fail,indomain_split_random,obj,2341960.0,2193460.0
2,9,first_fail,indomain_split_random,time,90.0,0.0002750189887592569
2,10,first_fail,indomain_split_random,obj,385400.0,218195.0
2,10,first_fail,indomain_split_random,time,110.0,0.0005857439973624423
2,11,first_fail,indomain_split_random,obj,1079186.0,1079186.0
2,11,first_fail,indomain_split_random,time,100.0,0.0002735860034590587
2,12,first_fail,indomain_split_random,obj,1556000.0,1345290.0
2,12,first_fail,indomain_split_random,time,100.0,0.00030719299684278667
2,13,first_fail,indomain_split_random,obj,1084000.0,981760.0
2,13,first_fail,indomain_split_random,time,160.0,0.000692730987793766
2,14,first_fail,indomain_split_random,obj,1804830.0,1536060.0
2,14,first_fail,indomain_split_random,time,100.0,0.00030261599749792367
2,15,first_fail,indomain_split_random,obj,1343704.0,710044.0
2,15,first_fail,indomain_split_random,time,80.0,0.0003450390067882836
2,16,first_fail,indomain_split_random,obj,730145.0,280764.0
2,16,first_fail,indomain_split_random,time,100.0,0.00029312899278011173
2,17,first_fail,indomain_split_random,obj,223082.0,122982.0
2,17,first_fail,indomain_split_random,time,90.0,0.000532417994691059
2,18,first_fail,indomain_split_random,obj,2057530.0,1843330.0
2,18,first_fail,indomain_split_random,time,90.0,0.0002869409945560619
2,19,first_fail,indomain_split_random,obj,1084035.0,768735.0
2,19,first_fail,indomain_split_random,time,100.0,0.0002486769953975454
2,20,first_fail,indomain_split_random,obj,417614.0,414914.0
2,20,first_fail,indomain_split_random,time,100.0,0.0002532350044930354
2,21,first_fail,indomain_split_random,obj,275913.0,252313.0
2,21,first_fail,indomain_split_random,time,150.0,0.00026876899937633425
2,22,first_fail,indomain_split_random,obj,392973.0,295277.0
2,22,first_fail,indomain_split_random,time,100.0,0.0002929500042228028
2,23,first_fail,indomain_split_random,obj,313080.0,191800.0
2,23,first_fail,indomain_split_random,time,90.0,0.0005197470018174499
2,24,first_fail,indomain_split_random,obj,3343956.0,3140001.0
2,24,first_fail,indomain_split_random,time,100.0,0.00036703200021293014
2,25,first_fail,indomain_split_random,obj,2846610.0,2555810.0
2,25,first_fail,indomain_split_random,time,110.0,0.0002841220120899379
2,26,first_fail,indomain_split_random,obj,3296135.0,2951060.0
2,26,first_fail,indomain_split_random,time,90.0,0.0002826049894792959
2,27,first_fail,indomain_split_random,obj,1403784.0,1314684.0
2,27,first_fail,indomain_split_random,time,100.0,0.0002943159925052896
2,28,first_fail,indomain_split_random,obj,3079140.0,2625240.0
2,28,first_fail,indomain_split_random,time,90.0,0.0003191159921698272
2,29,first_fail,indomain_split_random,obj,1963340.0,1675700.0
2,29,first_fail,indomain_split_random,time,90.0,0.0003122789930785075
2,30,first_fail,indomain_split_random,obj,456076.0,456076.0
2,30,first_fail,indomain_split_random,time,90.0,0.0002698840107768774
2,31,first_fail,indomain_split_random,obj,1189075.0,1117075.0
2,31,first_fail,indomain_split_random,time,90.0,0.00026879599317908287
2,32,first_fail,indomain_split_random,obj,941648.0,911048.0
2,32,first_fail,indomain_split_random,time,90.0,0.0002902349951909855
2,33,first_fail,indomain_split_random,obj,688270.0,672650.0
2,33,first_fail,indomain_split_random,time,100.0,0.0002983760059578344
2,34,first_fail,indomain_split_random,obj,1282470.0,1282470.0
2,34,first_fail,indomain_split_random,time,90.0,0.00028643201221711934
2,35,first_fail,indomain_split_random,obj,774220.0,749020.0
2,35,first_fail,indomain_split_random,time,80.0,0.00030817299557384104
2,36,first_fail,indomain_split_random,obj,3064180.0,2162480.0
2,36,first_fail,indomain_split_random,time,90.0,0.0004744360048789531
2,37,first_fail,indomain_split_random,obj,1481760.0,957010.0
2,37,first_fail,indomain_split_random,time,100.0,0.00028394600667525083
2,38,first_fail,indomain_split_random,obj,1672235.0,1659594.0
2,38,first_fail,indomain_split_random,time,90.0,0.00027777900686487556
2,39,first_fail,indomain_split_random,obj,446860.0,441930.0
2,39,first_fail,indomain_split_random,time,90.0,0.00031631799356546253
2,40,first_fail,indomain_split_random,obj,975530.0,314525.0
2,40,first_fail,indomain_split_random,time,80.0,0.00029152499337214977
2,41,first_fail,indomain_split_random,obj,1141275.0,608475.0
2,41,first_fail,indomain_split_random,time,100.0,0.0002780130016617477
2,42,first_fail,indomain_split_random,obj,353410.0,192088.0
