,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio,,
,,,,,Modified,Modified,Modified,Modified,Modified,,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,12,anti_first_fail,indomain_min,obj,286628,286628,308174,182892,1.075170604,,-69%
2,12,anti_first_fail,indomain_min,time,60,100,0.000196607,,3.28E-06,,
2,13,anti_first_fail,indomain_min,obj,1737925,1737925,1979195,2454765,1.138826474,,19%
2,13,anti_first_fail,indomain_min,time,60,80,0.000225885,,3.76E-06,,
2,14,anti_first_fail,indomain_min,obj,274225,274225,274225,275125,1,,0%
2,14,anti_first_fail,indomain_min,time,60,100,0.000205536,,3.43E-06,,
2,15,anti_first_fail,indomain_min,obj,1889820,1889820,1889820,2234120,1,,15%
2,15,anti_first_fail,indomain_min,time,60,90,0.000210877,,3.51E-06,,
2,16,anti_first_fail,indomain_min,obj,1384336,1384336,1393252,1593908,1.006440633,,13%
2,16,anti_first_fail,indomain_min,time,60,90,0.000197033,,3.28E-06,,
2,17,anti_first_fail,indomain_min,obj,3905000,3905000,3905000,4054400,1,,4%
2,17,anti_first_fail,indomain_min,time,50,70,0.000193647,,3.87E-06,,
2,18,anti_first_fail,indomain_min,obj,958997,958997,958997,3129201,1,,69%
2,18,anti_first_fail,indomain_min,time,60,100,0.000205232,,3.42E-06,,
2,19,anti_first_fail,indomain_min,obj,1276122,1276122,1276122,1345338,1,,5%
2,19,anti_first_fail,indomain_min,time,60,70,0.000193923,,3.23E-06,,
2,20,anti_first_fail,indomain_min,obj,304682,304682,304682,304682,1,,0%
2,20,anti_first_fail,indomain_min,time,60,80,0.000211002,,3.52E-06,,
2,21,anti_first_fail,indomain_min,obj,606278,606278,606278,790558,1,,23%
2,21,anti_first_fail,indomain_min,time,60,80,0.000212111,,3.54E-06,,
2,22,anti_first_fail,indomain_min,obj,315567,315567,315567,315567,1,,0%
2,22,anti_first_fail,indomain_min,time,50,90,0.000192953,,3.86E-06,,
2,23,anti_first_fail,indomain_min,obj,1746650,1746650,1746650,1553750,1,,-12%
2,23,anti_first_fail,indomain_min,time,50,80,0.000237517,,4.75E-06,,
2,24,anti_first_fail,indomain_min,obj,646350,646350,646350,975000,1,,34%
2,24,anti_first_fail,indomain_min,time,60,80,0.000197316,,3.29E-06,,
2,25,anti_first_fail,indomain_min,obj,537470,537470,537470,587070,1,,8%
2,25,anti_first_fail,indomain_min,time,70,90,0.000239112,,3.42E-06,,
2,26,anti_first_fail,indomain_min,obj,685066,685066,686466,738066,1.002043599,,7%
2,26,anti_first_fail,indomain_min,time,50,100,0.000228986,,4.58E-06,,
2,27,anti_first_fail,indomain_min,obj,81364,81364,81364,81364,1,,0%
2,27,anti_first_fail,indomain_min,time,60,80,0.000208933,,3.48E-06,,
2,28,anti_first_fail,indomain_min,obj,625050,625050,697650,530850,1.116150708,,-31%
2,28,anti_first_fail,indomain_min,time,80,100,0.000232192,,2.90E-06,,
2,29,anti_first_fail,indomain_min,obj,1437800,1437800,1437800,1814900,1,,21%
2,29,anti_first_fail,indomain_min,time,60,70,0.000201523,,3.36E-06,,
2,30,anti_first_fail,indomain_min,obj,1360027,1360027,1360027,1945427,1,,30%
2,30,anti_first_fail,indomain_min,time,50,70,0.000191899,,3.84E-06,,
2,31,anti_first_fail,indomain_min,obj,1570771,1570771,1570771,2216771,1,,29%
2,31,anti_first_fail,indomain_min,time,60,80,0.000224347,,3.74E-06,,
2,32,anti_first_fail,indomain_min,obj,2823327,2823327,3194898,4470798,1.131607497,,29%
2,32,anti_first_fail,indomain_min,time,60,100,0.000216175,,3.60E-06,,
2,33,anti_first_fail,indomain_min,obj,1045800,1045800,1045800,1074300,1,,3%
2,33,anti_first_fail,indomain_min,time,60,80,0.000213305,,3.56E-06,,
2,34,anti_first_fail,indomain_min,obj,860895,860895,1063520,1080120,1.235365521,,2%
